NIO,PTON,NVDA,RUN,SQ,AAWW,SBUX,UPS,AES,NXPI,,,,,,,,,
AMZN,AAPL,FB,MSFT,TDOC,GOOGL,AMD,TQQQ,CLOU,PYPL,V,TSLA,TSM,JWN,AGNC,PSTG,T,VZ,TPR
TAN,VSRL,ENPH,SEDG,ENPH,CSIQ,SPWR,,,,,,,,,,,,
TWOU,,,,,,,,,,,,,,,,,,
