BAC,24.09,25.0,5.0
AAPL,114.96,118.0,5.0
MSFT,209.54,212.0,5.0
AMD,79.48,81.0,5.0
FB,256.82,271.0,4.0
WFC,23.82,24.0,4.0
T,28.38,29.0,5.0
C,43.34,49.0,5.0
MS,48.38,51.0,5.0
JPM,96.16,99.0,5.0
PFE,36.39,37.0,5.0
